route,transfers,km,tort,d_ms,a_ms,d_exp,a_exp,gain
St. James's Park -> Wanstead,6,15.568075842121942,1.0969474576467497,0.13754815898007816,0.2027814897398154,219,37,0.6783072713222654
Bond Street -> Harrow-on-the-Hill,2,15.79302039273992,1.0648448601301148,0.1743879583146837,0.1521574022869269,230,21,1.1461023630374296
Angel -> Mudchute,2,9.772400523122887,1.2437948851552285,0.09586017371879685,0.15957037814789346,140,26,0.6007391524130591
Edgware Road (B) -> Liverpool Street,2,6.739673892546919,1.137032889119837,0.06164073323210081,0.14442500347892442,91,16,0.4268009814595288
Earl's Court -> East Acton,2,6.256083155783564,1.4120656163988512,0.043242590294943914,0.1459157508280542,63,17,0.29635313562482085
Dagenham East -> Holborn,3,20.780311287427367,1.0403533739187398,0.05518889261616601,0.15060740212599438,89,25,0.36644209937301997
Bromley-By-Bow -> Charing Cross,2,8.678947948810494,1.0813953936685532,0.051078707393672734,0.14622777493463623,79,21,0.3493092021437439
Blackhorse Road -> Embankment,3,12.582045163527528,1.206161503980657,0.026574999921851687,0.14352684633599389,41,15,0.1851569974556542
West Finchley -> High Barnet,1,4.8607927912935995,1.066989114549755,0.0036787138217025334,0.13277499626080197,7,4,0.027706374884595413
Notting Hill Gate -> Rayners Lane,2,19.164399549088678,1.3562804594638918,0.1504703528351254,0.16990555450320244,247,62,0.885611734560975
Becontree -> Parsons Green,6,25.939607254136448,1.0885342452202462,0.1151722234984239,0.1918833288881514,189,76,0.6002200616686074
Regent's Park -> St. Paul's,2,4.188231671247184,1.1802092512694093,0.034648159311877355,0.13609351590275764,49,6,0.2545908163371602
Hounslow East -> Woodside Park,3,31.503391862241454,1.5790684896472542,0.15163517867525417,0.20825927042298847,257,108,0.7281077013631759
Archway -> Elverson Road,4,18.28455473962611,1.360952749293002,0.13019259398182234,0.19948610828982458,206,86,0.6526399010835945
Archway -> Park Royal,3,20.067159375472794,1.8019945234343877,0.13991665715972582,0.21338148249520195,225,106,0.6557113369144952
Bethnal Green -> Custom House,4,7.501585865927214,1.2438471509134073,0.05501295543379253,0.13951944808165231,79,8,0.394303132575444
Cyprus -> Devons Road,1,7.903227216672816,1.3553243723546868,0.017705549382501178,0.14690464983383814,28,16,0.12052409098369375
Devons Road -> Turnpike Lane,4,17.61489999269085,1.8336810645275219,0.1141768673227893,0.18356757031546697,188,66,0.621988225515937
Mill Hill East -> Stonebridge Park,5,25.038393756902824,2.957573095393458,0.12495649150676198,0.1867546286020014,201,72,0.6690944821135365
Royal Victoria -> Lewisham,1,8.46379330262905,1.591270853159899,0.0382361105746693,0.14639722390307322,60,22,0.2611805712926954
Angel -> Westferry,2,7.239762100329895,1.2005915227436752,0.06615000052584542,0.14283240048421753,96,11,0.4631302162645846
Parsons Green -> Watford,3,34.933184667421266,1.3877078245762835,0.17391666769981384,0.23271017190482882,297,143,0.7473530971002863
Clapham South -> Woodford,4,23.282955222386924,1.0938633778742988,0.15236481817232236,0.17239351032508743,241,42,0.8838199180758233
Tooting Bec -> Southwark,2,9.550255367098861,1.1721638178543405,0.015892605814668868,0.14804722741246223,25,15,0.10734821646062835
